,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,activity_date,activity_time
0,running,2018-08-04 07:23:05,False,Washington Running,11.01,"1,292",1:40:01,167,190,4.6,161,170,9:05,8:04,193,352,1.1,2018-08-04,07:23:05
1,treadmill_running,2018-08-03 11:51:35,False,Treadmill Running,5.03,538,44:52,152,171,3.2,157,170,8:55,7:55,--,--,1.15,2018-08-03,11:51:35
2,running,2018-08-01 06:58:58,False,Washington Running,6.04,622,52:06,154,176,3.4,160,168,8:37,6:42,106,110,1.17,2018-08-01,06:58:58
3,running,2018-07-30 11:26:46,False,Leelanau County Running,1.94,234,58:19,96,141,1.1,115,133,30:04,2:22,218,326,0.47,2018-07-30,11:26:46
4,running,2018-07-29 13:00:07,False,Leelanau County Running,9.01,938,1:19:14,159,183,3.6,161,246,8:47,7:46,385,401,1.14,2018-07-29,13:00:07
5,running,2018-07-28 12:49:59,False,Leelanau County Running,3.19,353,26:53,165,180,3.2,162,168,8:26,8:02,33,36,1.18,2018-07-28,12:49:59
6,running,2018-07-27 10:28:16,False,Washington Running,4.53,537,40:15,165,184,3.8,160,170,8:53,7:20,100,82,1.13,2018-07-27,10:28:16
7,treadmill_running,2018-07-25 19:27:33,False,Treadmill Running,3.12,268,27:13,136,160,2.0,157,163,8:44,7:32,--,--,1.17,2018-07-25,19:27:33
8,running,2018-07-23 11:08:46,False,Boston Running,5.04,555,42:59,161,180,3.6,160,166,8:32,7:51,129,135,1.18,2018-07-23,11:08:46
9,running,2018-07-21 10:39:16,False,Bourne Running,10.05,"1,128",1:26:32,166,182,4.3,162,173,8:36,7:44,585,660,1.15,2018-07-21,10:39:16
10,running,2018-07-20 17:28:52,False,Sandwich Running,3.03,317,25:37,156,183,3.1,160,166,8:28,7:54,161,168,1.19,2018-07-20,17:28:52
11,running,2018-07-18 18:08:03,False,Sandwich Running,3.53,370,30:51,155,170,3.0,160,164,8:45,7:42,7,7,1.15,2018-07-18,18:08:03
12,running,2018-07-16 07:02:51,False,Washington Running,3.02,307,25:55,151,174,3.0,162,177,8:35,7:59,63,70,1.16,2018-07-16,07:02:51
13,running,2018-07-15 09:59:41,False,Washington Running,3.25,373,28:03,165,188,3.6,162,183,8:37,8:04,264,24,1.16,2018-07-15,09:59:41
14,running,2018-07-14 07:13:43,False,Washington Running,8.06,763,1:09:13,150,180,4.0,162,168,8:35,7:53,237,359,1.16,2018-07-14,07:13:43
15,running,2018-07-11 06:50:04,False,Washington Running,5.02,522,42:55,157,175,3.6,161,174,8:33,7:33,81,89,1.17,2018-07-11,06:50:04
16,running,2018-07-10 08:49:12,False,Washington Running,4.04,494,34:12,--,--,0.0,162,168,8:28,7:25,76,91,1.18,2018-07-10,08:49:12
17,running,2018-07-08 11:47:58,False,Washington Running,4.52,555,38:19,--,--,0.0,161,246,8:28,7:39,88,87,1.18,2018-07-08,11:47:58
18,running,2018-07-07 11:01:11,False,Washington Running,7.03,859,59:44,--,--,0.0,161,245,8:30,6:01,165,153,1.17,2018-07-07,11:01:11
19,running,2018-07-05 06:49:08,False,Washington Running,5.04,537,42:21,164,181,4.1,161,180,8:24,7:20,92,104,1.19,2018-07-05,06:49:08
20,running,2018-07-03 06:48:08,False,Washington Running,5.02,535,42:40,163,186,4.1,160,250,8:30,7:33,78,85,1.18,2018-07-03,06:48:08
21,running,2018-07-01 09:05:54,False,Washington Running,6.52,772,59:33,165,185,4.8,160,245,9:08,7:21,91,99,1.1,2018-07-01,09:05:54
22,running,2018-06-28 18:34:38,False,Washington Running,4.03,437,34:17,162,183,3.8,159,245,8:30,7:45,66,82,1.19,2018-06-28,18:34:38
23,running,2018-06-26 17:24:13,False,Washington Running,4.04,432,33:38,161,184,3.7,159,245,8:20,6:56,77,88,1.21,2018-06-26,17:24:13
24,running,2018-06-18 10:00:40,False,Running,1.01,98,8:41.5,145,164,2.0,159,245,8:36,8:07,21,15,1.18,2018-06-18,10:00:40
25,running,2018-06-16 10:26:53,False,Running,3.12,352,26:53,163,181,3.5,159,166,8:37,8:03,131,133,1.18,2018-06-16,10:26:53
26,running,2018-06-13 18:54:38,False,Washington Running,3.52,389,29:28,163,183,3.6,159,170,8:23,7:19,53,63,1.21,2018-06-13,18:54:38
27,running,2018-06-11 18:33:53,False,Washington Running,4.52,452,38:06,153,173,3.4,159,227,8:26,7:09,92,98,1.2,2018-06-11,18:33:53
28,running,2018-06-07 18:20:21,False,Washington Running,4.03,438,34:42,160,180,3.7,158,168,8:36,7:36,75,86,1.18,2018-06-07,18:20:21
29,running,2018-06-05 18:49:21,False,Washington Running,4.03,414,34:42,153,182,3.3,158,170,8:37,7:36,124,152,1.18,2018-06-05,18:49:21
30,running,2018-06-02 09:17:41,False,Westford Running,2.73,326,25:26,159,176,3.3,160,168,9:19,8:29,103,112,1.08,2018-06-02,09:17:41
31,running,2018-05-29 17:18:40,False,Sandwich Running,4.06,447,34:28,163,183,3.8,160,170,8:29,7:59,136,168,1.19,2018-05-29,17:18:40
32,running,2018-05-25 11:11:56,False,Westfield Running,4.51,507,38:22,164,180,4.0,160,170,8:31,8:09,210,219,1.18,2018-05-25,11:11:56
33,running,2018-05-23 16:49:00,False,Washington Running,2.11,209,18:11,148,176,2.4,159,211,8:37,7:16,25,61,1.18,2018-05-23,16:49:00
34,running,2018-05-15 17:42:00,False,Washington Running,4.01,410,34:33,153,181,3.3,159,166,8:37,7:39,81,85,1.18,2018-05-15,17:42:00
35,running,2018-05-13 11:28:40,False,Washington Running,8.03,881,1:13:13,157,179,3.4,161,168,9:07,7:35,257,383,1.1,2018-05-13,11:28:40
36,running,2018-05-11 18:05:40,False,Washington Running,4.52,446,38:28,150,184,2.9,159,180,8:30,7:39,155,132,1.19,2018-05-11,18:05:40
37,running,2018-05-08 17:48:51,False,Washington Running,5.04,541,42:37,159,178,3.4,160,170,8:28,7:39,90,86,1.19,2018-05-08,17:48:51
38,running,2018-05-07 18:44:35,False,Washington Running,5.54,562,47:20,152,180,3.3,159,166,8:33,7:26,133,142,1.18,2018-05-07,18:44:35
39,running,2018-04-30 17:57:20,False,Washington Running,4.03,406,34:21,150,169,2.9,160,170,8:32,7:17,58,67,1.18,2018-04-30,17:57:20
40,running,2018-04-27 18:40:05,False,Arlington County Running,3.1,283,21:25,166,190,3.1,166,194,6:54,4:57,43,43,1.41,2018-04-27,18:40:05
41,running,2018-04-25 12:42:26,False,Washington Running,4.03,407,34:24,151,180,3.0,162,219,8:33,6:58,77,77,1.16,2018-04-25,12:42:26
42,running,2018-04-24 18:12:37,False,Washington Running,5.53,545,47:41,151,171,3.0,160,170,8:37,7:13,108,99,1.16,2018-04-24,18:12:37
43,running,2018-04-22 10:11:06,False,Washington Running,10.02,"1,092",1:27:42,163,195,3.8,164,174,8:45,6:56,210,219,1.12,2018-04-22,10:11:06
44,running,2018-04-20 18:30:21,False,Arlington County Running,3.15,293,25:08,153,195,3.0,163,181,7:58,5:40,45,43,1.24,2018-04-20,18:30:21
45,running,2018-04-18 17:00:49,False,Washington Running,4.52,481,38:42,160,179,3.5,160,168,8:34,7:47,88,86,1.18,2018-04-18,17:00:49
46,running,2018-04-16 18:20:40,False,Washington Running,4.02,424,35:39,156,173,3.2,160,168,8:53,7:17,122,135,1.13,2018-04-16,18:20:40
47,running,2018-04-14 10:25:25,False,Washington Running,9.59,"1,192",1:31:16,166,185,4.5,164,174,9:31,8:14,562,686,1.03,2018-04-14,10:25:25
48,running,2018-04-13 18:30:28,False,Arlington County Running,3.17,373,28:31,161,180,3.4,162,166,9:00,7:29,52,45,1.11,2018-04-13,18:30:28
49,running,2018-04-12 18:32:08,False,Washington Running,5.54,630,48:52,160,182,3.9,160,168,8:49,7:07,314,325,1.14,2018-04-12,18:32:08
50,running,2018-04-08 18:05:35,False,Washington Running,3.12,295,26:33,145,174,2.7,160,236,8:31,6:56,55,64,1.18,2018-04-08,18:05:35
51,running,2018-04-06 18:40:11,False,Arlington County Running,3.12,326,22:24,180,196,4.0,165,176,7:10,6:27,45,43,1.36,2018-04-06,18:40:11
52,running,2018-04-05 18:31:47,False,Washington Running,4.53,425,38:06,148,178,3.4,160,250,8:25,7:28,126,135,1.19,2018-04-05,18:31:47
53,running,2018-04-02 17:55:48,False,Washington Running,5.02,519,43:09,155,179,3.7,161,168,8:35,7:42,108,116,1.17,2018-04-02,17:55:48
54,running,2018-03-31 11:13:46,False,Washington Running,10.01,"1,128",1:29:31,163,202,4.6,161,219,8:56,7:32,266,389,1.12,2018-03-31,11:13:46
55,running,2018-03-26 18:34:36,False,Washington Running,3.11,346,26:53,161,182,3.4,161,245,8:38,6:48,63,72,1.16,2018-03-26,18:34:36
56,running,2018-03-23 17:56:33,False,Washington Running,5.02,570,42:36,166,184,4.2,160,168,8:29,7:08,97,84,1.18,2018-03-23,17:56:33
57,running,2018-03-17 12:44:38,False,Washington Running,5.03,572,43:23,163,180,4.1,160,170,8:37,7:13,106,116,1.16,2018-03-17,12:44:38
58,running,2018-03-13 18:11:54,False,Washington Running,2.52,276,21:16,161,179,3.2,162,174,8:26,7:44,30,56,1.17,2018-03-13,18:11:54
59,running,2018-03-04 11:08:15,False,Washington Running,6.14,739,53:48,165,182,4.4,163,245,8:46,7:05,108,106,1.13,2018-03-04,11:08:15
60,treadmill_running,2018-02-27 18:40:43,False,Treadmill Running,2.6,274,22:29,149,173,3.0,159,165,8:39,7:34,--,--,1.17,2018-02-27,18:40:43
61,running,2018-02-23 12:33:43,False,Washington Running,4.02,449,33:09,162,183,3.7,163,244,8:15,7:20,68,79,1.19,2018-02-23,12:33:43
62,running,2018-02-21 16:39:06,False,Washington Running,4.02,472,33:26,168,189,4.1,161,168,8:19,7:18,121,118,1.2,2018-02-21,16:39:06
63,running,2018-02-20 17:19:56,False,Washington Running,4.01,414,33:10,154,181,3.5,161,170,8:16,7:09,96,133,1.21,2018-02-20,17:19:56
64,running,2018-02-17 07:51:40,False,Washington Running,3.14,272,22:41,150,166,2.8,167,174,7:13,6:28,1,1,1.34,2018-02-17,07:51:40
65,running,2018-02-12 17:29:59,False,Washington Running,4.02,444,35:42,155,176,3.2,161,170,8:53,7:33,73,78,1.12,2018-02-12,17:29:59
66,running,2018-02-04 10:06:17,False,Washington Running,10.01,924,1:29:28,148,185,3.0,164,181,8:56,6:08,296,314,1.1,2018-02-04,10:06:17
67,running,2018-02-01 16:50:42,False,Washington Running,4.01,422,34:34,155,192,3.1,164,173,8:37,7:46,52,97,1.14,2018-02-01,16:50:42
68,running,2018-01-30 16:35:36,False,Washington Running,4.02,416,33:52,154,178,3.1,164,173,8:25,7:14,55,67,1.17,2018-01-30,16:35:36
69,running,2018-01-27 14:19:25,False,Washington Running,9.01,972,1:20:12,158,184,3.7,163,172,8:54,7:55,340,461,1.11,2018-01-27,14:19:25
70,running,2018-01-24 16:39:44,False,Washington Running,3.17,323,26:46,154,180,3.0,165,174,8:26,7:09,55,64,1.16,2018-01-24,16:39:44
71,running,2018-01-23 16:26:39,False,Washington Running,6.02,638,51:48,160,177,3.6,162,168,8:36,8:06,148,156,1.16,2018-01-23,16:26:39
72,running,2018-01-21 11:36:24,False,Washington Running,8.07,792,1:12:59,148,177,4.1,165,175,9:03,7:40,185,179,1.08,2018-01-21,11:36:24
73,running,2018-01-19 17:40:32,False,Washington Running,5.02,575,43:48,164,180,4.2,163,170,8:44,7:16,142,134,1.13,2018-01-19,17:40:32
74,running,2018-01-16 17:15:20,False,Washington Running,5.03,537,44:08,157,175,3.6,163,182,8:47,7:29,80,90,1.12,2018-01-16,17:15:20
75,running,2018-01-13 09:53:14,False,Washington Running,5.03,557,43:35,163,180,4.1,163,170,8:40,7:56,820,869,1.14,2018-01-13,09:53:14
76,running,2018-01-10 12:18:07,False,Washington Running,5.02,568,43:29,165,180,4.1,161,166,8:40,7:21,125,133,1.15,2018-01-10,12:18:07
77,running,2018-01-09 13:17:36,False,Washington Running,4.53,467,40:04,153,179,3.6,160,166,8:51,8:13,82,82,1.13,2018-01-09,13:17:36
78,running,2018-01-06 12:46:45,False,Washington Running,5.02,593,44:04,169,185,4.5,161,172,8:47,7:49,139,136,1.14,2018-01-06,12:46:45
79,running,2017-12-31 11:18:04,False,Hyde Park Running,4.02,451,36:25,157,185,3.7,162,170,9:03,8:39,112,124,1.1,2017-12-31,11:18:04
81,running,2017-12-18 17:24:15,False,Washington Running,4.52,442,42:40,142,176,3.1,160,170,9:26,7:16,123,133,1.07,2017-12-18,17:24:15
82,running,2017-12-14 12:34:53,False,Washington Running,2.13,209,18:45,145,178,2.5,162,245,8:48,6:30,52,61,1.13,2017-12-14,12:34:53
83,running,2017-12-10 13:49:20,False,Washington Running,10.03,930,1:28:53,152,175,3.3,163,172,8:51,6:45,333,335,1.11,2017-12-10,13:49:20
84,running,2017-12-08 16:22:20,False,Washington Running,5.04,526,46:00,150,170,3.3,161,181,9:08,7:05,122,126,1.09,2017-12-08,16:22:20
85,running,2017-12-05 12:56:55,False,Washington Running,4.06,441,36:10,158,185,3.6,161,182,8:54,7:53,76,85,1.13,2017-12-05,12:56:55
86,running,2017-12-03 10:41:57,False,Washington Running,6.65,705,1:00:11,156,180,3.6,162,170,9:03,8:04,244,166,1.09,2017-12-03,10:41:57
87,running,2017-11-30 12:35:38,False,Washington Running,4.52,511,39:27,167,181,4.1,160,170,8:44,8:06,120,132,1.15,2017-11-30,12:35:38
88,running,2017-11-28 12:39:39,False,Washington Running,4.03,485,35:44,171,185,4.0,160,166,8:53,8:02,64,74,1.13,2017-11-28,12:39:39
89,running,2017-11-23 08:03:03,False,Sandwich Running,3.11,258,22:49,150,193,3.0,166,187,7:20,6:02,131,131,1.32,2017-11-23,08:03:03
90,running,2017-11-15 12:55:50,False,Washington Running,5.02,555,44:32,160,185,3.8,162,170,8:53,7:20,99,106,1.12,2017-11-15,12:55:50
91,running,2017-11-12 11:48:14,False,Washington Running,8.52,878,1:17:25,154,179,3.7,164,182,9:05,7:56,319,292,1.08,2017-11-12,11:48:14
92,running,2017-11-10 11:42:23,False,Washington Running,4.02,433,35:34,158,178,3.6,164,176,8:50,7:23,75,77,1.11,2017-11-10,11:42:23
93,running,2017-11-09 13:04:13,False,Washington Running,4.17,449,37:48,158,183,3.7,162,246,9:04,7:20,57,67,1.1,2017-11-09,13:04:13
94,running,2017-11-05 16:00:59,False,Washington Running,6.23,675,56:42,161,184,4.1,160,168,9:06,7:47,102,114,1.1,2017-11-05,16:00:59
95,running,2017-11-03 12:08:46,False,Washington Running,5.05,591,45:43,169,196,5.0,162,170,9:03,8:24,76,85,1.1,2017-11-03,12:08:46
96,running,2017-10-31 16:33:35,False,Washington Running,5.07,583,46:44,163,181,4.5,159,166,9:13,8:30,133,137,1.1,2017-10-31,16:33:35
97,running,2017-10-29 12:08:01,False,Washington Running,5.02,570,46:45,159,182,4.1,159,243,9:19,7:30,80,97,1.09,2017-10-29,12:08:01
98,running,2017-10-21 08:48:24,False,Washington Running,3.25,380,38:42,144,170,2.3,159,172,11:54,8:54,14,14,0.85,2017-10-21,08:48:24
99,running,2017-10-08 08:05:24,False,Chicago Running,26.57,"2,966",4:57:23,157,185,4.3,157,176,11:12,6:48,269,266,0.91,2017-10-08,08:05:24
100,running,2017-10-05 18:38:41,False,Washington Running,3.13,342,29:23,149,172,2.8,158,168,9:23,8:26,56,66,1.08,2017-10-05,18:38:41
101,running,2017-10-03 18:14:06,False,Washington Running,5.03,491,46:33,143,165,2.7,159,246,9:15,7:02,97,111,1.09,2017-10-03,18:14:06
102,running,2017-09-30 08:18:25,False,Washington Running,8.03,841,1:12:20,155,175,3.2,162,170,9:00,7:53,213,225,1.11,2017-09-30,08:18:25
103,running,2017-09-28 18:26:22,False,Washington Running,4.02,405,37:11,144,167,2.7,159,166,9:15,7:54,70,83,1.09,2017-09-28,18:26:22
104,running,2017-09-26 18:27:34,False,Washington Running,6.02,680,53:35,161,177,3.7,159,183,8:54,7:26,111,106,1.14,2017-09-26,18:27:34
105,running,2017-09-23 08:35:23,False,Washington Running,12.04,"1,199",1:46:05,159,175,3.5,162,186,8:49,7:32,249,263,1.13,2017-09-23,08:35:23
106,running,2017-09-21 17:49:25,False,Washington Running,6.03,645,52:52,158,184,3.3,160,170,8:46,7:47,92,102,1.15,2017-09-21,17:49:25
107,running,2017-09-19 18:17:06,False,Washington Running,5.02,517,44:04,153,171,3.0,160,170,8:46,8:09,78,88,1.15,2017-09-19,18:17:06
108,running,2017-09-18 17:46:50,False,Washington Running,5.03,512,44:33,152,170,3.0,159,168,8:52,8:06,228,211,1.14,2017-09-18,17:46:50
109,running,2017-09-16 09:13:49,False,Washington Running,18.05,"1,839",2:46:00,164,181,3.8,161,246,9:12,6:46,422,580,1.08,2017-09-16,09:13:49
110,running,2017-09-14 18:36:00,False,Washington Running,5.07,562,42:23,166,185,3.7,160,184,8:22,7:34,126,129,1.2,2017-09-14,18:36:00
111,running,2017-09-13 18:37:37,False,Washington Running,1.01,91,8:51.6,137,159,1.7,159,245,8:48,7:21,24,15,1.15,2017-09-13,18:37:37
112,running,2017-09-12 18:13:54,False,Washington Running,6.2,622,54:40,152,173,3.1,159,243,8:49,7:01,153,159,1.15,2017-09-12,18:13:54
113,running,2017-09-09 08:30:30,False,Dennis Running,3.14,330,26:16,160,178,3.0,162,195,8:22,4:27,65,68,1.19,2017-09-09,08:30:30
114,running,2017-09-08 10:00:45,False,Dennis Running,6.01,683,52:44,165,185,4.0,163,201,8:47,4:10,119,126,1.12,2017-09-08,10:00:45
115,running,2017-09-05 17:50:39,False,Washington Running,6.16,653,52:30,161,189,3.6,160,170,8:31,6:55,106,118,1.18,2017-09-05,17:50:39
116,running,2017-09-01 15:49:21,False,Washington Running,18.02,"1,643",2:39:28,157,184,3.3,162,249,8:51,7:37,436,446,1.12,2017-09-01,15:49:21
117,running,2017-08-31 18:21:16,False,Washington Running,6.02,582,54:27,147,173,2.9,161,170,9:03,6:44,96,94,1.11,2017-08-31,18:21:16
118,treadmill_running,2017-08-29 18:35:19,False,Treadmill,3.2,--,30:56,--,--,0.0,--,--,9:40,--,--,--,0.0,2017-08-29,18:35:19
119,running,2017-08-28 18:22:22,False,Washington Running,5.5,565,48:51,155,178,3.2,160,242,8:53,7:12,193,170,1.13,2017-08-28,18:22:22
120,running,2017-08-26 07:26:06,False,Quantico Running,7.48,824,1:00:02,177,193,5.0,163,187,8:02,5:08,472,465,1.23,2017-08-26,07:26:06
121,running,2017-08-24 18:07:56,False,Washington Running,1.59,156,14:09,147,168,2.2,160,225,8:53,7:07,13,55,1.14,2017-08-24,18:07:56
122,running,2017-08-23 18:16:38,False,Washington Running,6.02,640,54:00,158,176,3.4,160,183,8:58,7:32,157,153,1.12,2017-08-23,18:16:38
123,treadmill_running,2017-08-21 18:32:00,False,Treadmill Running,2.0,--,19:00,--,--,0.0,--,--,9:30,--,--,--,0.0,2017-08-21,18:32:00
124,running,2017-08-19 08:20:51,False,Washington Running,16.15,"1,756",2:24:22,169,188,4.6,161,172,8:56,7:32,304,294,1.12,2017-08-19,08:20:51
125,running,2017-08-14 18:38:14,False,Washington Running,6.01,649,49:57,169,192,4.1,163,180,8:18,7:36,149,149,1.19,2017-08-14,18:38:14
126,running,2017-08-12 11:39:54,False,Hyde Park Running,10.15,"1,085",1:34:19,159,181,3.4,162,246,9:18,8:03,314,327,1.07,2017-08-12,11:39:54
127,running,2017-08-09 18:24:47,False,Washington Running,5.02,519,46:11,151,172,3.0,160,173,9:12,8:29,96,87,1.09,2017-08-09,18:24:47
128,running,2017-08-08 18:23:10,False,Washington Running,7.02,700,59:23,159,180,3.5,161,241,8:28,7:40,104,115,1.18,2017-08-08,18:23:10
129,running,2017-08-06 09:15:46,False,Washington Running,16.03,"1,437",2:23:41,154,182,3.2,162,245,8:58,6:47,400,408,1.11,2017-08-06,09:15:46
130,treadmill_running,2017-08-04 11:58:10,False,Treadmill Running,6.2,610,51:17,160,183,3.7,161,168,8:16,8:19,--,--,1.08,2017-08-04,11:58:10
131,running,2017-08-03 12:30:33,False,Washington Running,5.02,587,45:33,169,187,4.0,160,246,9:04,7:20,90,85,1.11,2017-08-03,12:30:33
132,running,2017-08-01 18:44:39,False,Washington Running,5.51,535,49:31,150,177,3.1,160,245,8:59,7:46,117,109,1.12,2017-08-01,18:44:39
133,running,2017-07-28 07:01:54,False,Conway Running,4.06,487,38:13,167,191,3.6,160,241,9:25,8:24,575,567,1.07,2017-07-28,07:01:54
134,running,2017-07-26 18:42:18,False,Washington Running,6.02,635,51:37,165,181,3.7,161,243,8:35,7:27,94,92,1.17,2017-07-26,18:42:18
135,running,2017-07-24 18:38:04,False,Washington Running,5.08,585,48:07,163,183,3.5,161,170,9:28,8:02,72,75,1.06,2017-07-24,18:38:04
